barcode;amount
65766881594;48
23921305232;10
25926186729;14
43517876517;14
33470792748;10
42430399636;24
14892873434;10
66593581423;14
69727737245;2
73591252732;2
20541059595;28
28414340659;4
92494577724;16
61905167697;10
38819034559;24
95911709038;30
68572493293;6
24154850894;14
57106484903;18
96075031427;10
40563085708;18
37816384138;18
16745654801;10
14536438848;30
71855582795;12
62974550972;14
75243734766;2
61509946819;2
76468807075;6
96409835232;26
68303302736;38
50835873304;8
41612004899;22
28952727659;14
98478047504;4
72674184209;14
75550157252;20
65225606246;18
39591874492;10
67157084572;40
63839799552;8
91601336496;26
74715714253;32
82615737856;12
80295899323;4
11314477547;8
85690678454;24
93081453007;26
39783150523;28
30459475915;6
23649157038;18
20812731555;6
88947272263;6
93206688551;8
89968249947;24
78988775199;4
59146861686;22
45293793091;20
29948017865;24
59240390121;18
74456399122;18
83174121124;20
14153379267;14
17030466567;6
64848830792;12
68572746704;18
69469425228;4
78618764965;16
28110313327;20
51078354965;34
19683027589;4
41233341074;18
80757832943;8
48361005936;18
27738107131;26
65070756696;26
59020944808;6
16362615737;12
75098657759;22
62333390421;26
86741031933;20
49292234645;14
41767761095;18
23032790051;16
29968857988;36
12193189607;4
21515857551;8
60056240211;14
98358414673;16
90530328146;12
16649369492;18
71971444871;4
71447330342;18
13567942298;10
13506935826;18
74605522683;20
94196881473;42
20709274701;16
67871027179;34
22495809106;40
43635290508;18
74682673318;30
82431552812;14
38886242284;12
41392173486;20
90757782167;18
78038899067;18
87717608991;8
89884370430;8
33376378446;16
21544730236;8
76722869726;20
65557643812;14
25351947671;12
79492959382;8
79357966578;4
96574588830;12
54240901669;12
34308039275;8
61725523812;12
92435563281;40
45013305050;6
27212227292;16
78908848542;16
64587712668;24
93629376148;18
93868087173;14
71352078145;28
49657807958;10
55457675636;38
14692367451;18
21872339837;32
27243226475;12
97564875374;34
89775443699;18
70415828378;4
22752535977;16
95920146701;6
97187492641;10
44361793082;20
76406140629;20
13616793291;24
41431124319;38
44770448343;4
56119611928;12
50000398936;6
48543740989;22
76578201816;24
71146254202;36
40367785014;38
87945380656;30
74317820456;4
27746283764;8
26030610508;16
82462593519;2
59659117884;2
85212488407;26
38065747044;8
42686934527;4
64195365029;14
53433685991;14
26729173403;34
52477650054;6
91157944737;28
44537155162;12
74351159483;18
95834220547;4
64218808820;16
50792376079;2
93281943856;16
22714265060;8
73967008589;26
44872672762;14
65778143742;24
12408754490;18
19142479292;16
96599500275;30
93379933341;20
37168653211;8
75386864548;2
22962092284;38
40453512411;2
79399855290;12
36891952338;6
79732969788;18
36716687261;14
21363487675;4
11176671679;24
12864087777;8
67401673380;6
55684135847;2
90661585586;24
13845715462;14
74761153735;24
37333007677;6
97800570408;12
20027788119;34
22639547374;6
88973370899;48
11853189233;16
12661391903;20
52110669143;56
42160587776;20
13370206181;16
15410179346;6
68486748335;20
10716513231;36
13102832400;26
41777482173;16
58147453254;24
99119362904;20
61068115347;12
94232837443;8
88344845253;28
97430765105;40
48911471891;32
66049841263;32
76277939598;14
91527252394;6
20630659032;34
20643716154;24
75866262911;26
99795423952;20
66979560147;28
20879419040;14
30448207915;10
88145406696;10
48772829459;14
78022214723;6
13579750909;26
42079456512;18
84133957229;6
33225728881;14
59480672128;10
69449642724;6
74412492692;12
83411466670;8
91054929202;34
19974541004;18
22294311497;6
45032127460;16
14584657364;14
42330947568;8
32815928430;34
52477367830;18
40269811674;40
31947203734;4
55742603033;26
81434253625;16
29683031903;52
28378000646;2
96377836945;16
19662027208;8
26713774326;20
19336462769;26
27308926428;4
77155458471;20
29082219128;8
44991754816;22
45289729490;12
51670781867;10
47480327055;52
49501773051;30
61847452652;18
15241653619;22
69745275059;20
86076815118;12
36502765794;12
30687532436;8
65276624549;10
82860725011;14
59691796810;24
22711288220;4
14471216019;12
98047110808;6
52865557783;14
19433801759;12
77024443980;12
49735406963;8
78788786633;22
33814102057;32
27043639557;14
25731302933;16
54980524983;16
16058313261;4
69931786873;14
80159773961;28
85193719991;8
32333260547;18
63488585566;10
85463688939;28
98906334636;8
29324944056;8
90794857380;50
57336348773;8
61090102118;20
37276768541;4
21900036237;28
59337202775;10
61900986491;6
30572444449;4
52245857971;10
20493332458;20
19173894824;4
66917169242;8
68662192879;18
86548131070;20
51822798006;14
76973754155;16
52179494667;32
90558401085;12
47061967639;16
55515475641;8
19678120322;18
34794694762;12
77486820204;10
85666190899;14
50940322870;32
17880804650;36
41867303317;32
71434744227;16
18426968150;16
18923849768;8
56893605527;14
68303102319;14
59134854360;32
84489301652;18
14097862103;10
34108187121;4
69743210346;6
22069382537;34
80569138598;34
44829064448;4
30260331211;26
27426618776;20
22158804501;14
48562023829;10
68501951509;46
99507323023;2
94891187327;44
40831041656;14
81757843023;30
63003424546;4
27310737693;2
86820555830;16
66911818766;10
86937819903;12
53114690443;12
63557045493;24
14773511641;28
30086171120;8
26357464849;24
51366086414;8
79295260650;20
73857734751;28
89682950412;8
29279475778;12
18592327453;14
30851306057;4
84994668235;4
83784346375;20
33100358034;10
16524766071;24
45859484489;22
77772533527;20
59735307554;32
40113680616;14
15947222086;12
89370668960;12
16380975381;2
50439559108;8
60125577178;6
54648466303;14
41241842210;4
93417090404;20
24025192621;22
52514531132;6
51209271426;18
49210881653;14
76633306091;24
68960944045;4
31794292708;18
38114229805;14
70528789697;6
61760839612;38
65734969352;20
60301185467;16
28174244985;4
97168853730;16
32679484767;26
99606133093;12
64316876652;14
42800706279;12
66338035006;34
75221578552;10
81493746891;4
18216935453;18
44342756043;24
62672049253;12
55242641638;14
28852531051;8
11280687530;18
68862442375;8
31863316994;20
59482781769;12
75526562396;12
90016586510;10
70578638931;8
23267213154;20
67701113209;2
73071577649;18
41545722666;16
58825872377;46
39830054513;16
52911083882;6
62513541503;14
94880531051;18
80757847115;8
44562381122;20
41118901701;6
78558303063;10
22414837842;18
85517221065;38
74493784005;26
30771592130;6
24417150103;18
91449769785;12
85122486528;36
18772843788;42
98288584184;14
55762741929;4
33031423444;20
74171542042;18
88704396558;4
22857778026;16
76012290577;32
18889381932;4
10373318993;18
31951881050;8
10538551114;20
98113884479;8
57796856755;24
62263345625;24
14149524145;8
64446135410;6
71171131988;20
87523953461;2
40470760241;20
94964243740;14
35898941231;42
56698418502;10
72941344335;6
48664587126;24
63033339392;20
27096024794;16
42464150903;18
56618890934;2
15460299594;12
57376676656;32
24092603851;34
10580486968;14
96083655333;6
73546788167;4
33155334239;10
89714518831;10
20725607745;2
66263221523;16
74823316273;10
12310494172;22
22633100530;18
65597599514;8
83870868701;4
23154816745;16
94386647663;18
96071904557;14
33960545839;24
84998983882;18
91818366946;2
20481079940;18
99289643389;4
16604116780;18
64452551163;26
11762222758;18
18427149801;10
26328837147;16
85271638174;12
37075338467;6
79200164085;12
40459661667;20
74486885519;4
42973265370;18
47043761873;10
55379137745;28
37630940303;10
26286798224;24
29472770105;2
50165901843;34
81843106631;8
26878196646;6
37819682818;32
37283892316;16
55113894610;16
83442717516;10
72036388148;24
51822334145;20
54249303014;22
62415289978;20
48580624254;6
55193266787;18
91760178979;54
25246675860;12
48339922946;6
10967780559;8
23802034551;6
88117330572;24
35111190130;48
74829652697;4
32537338044;2
67750402154;4
54048117740;18
39550497258;42
37698853337;16
53980156717;14
11066239219;26
54630867812;10
42690229710;14
25183099291;62
86307759906;38
92039429471;12
95612980931;8
77529215396;2
62131764808;8
54659915295;16
88748584952;52
76142864472;12
70578268949;28
38788165643;28
65550805641;36
24629406037;42
20263360234;16
99579760733;10
79640643523;38
28167851228;26
84582759742;22
88797047036;28
64569051186;32
32997000998;6
84240455718;14
48764134431;6
61281570955;20
53854706570;18
18325172836;12
89165174817;2
92355784523;22
83055303143;14
77027744443;18
91753421433;12
33145761171;12
22703894256;4
22550446903;10
88466527059;18
26769272552;6
14458104125;28
52695195629;34
69739417852;18
37438291379;10
73496692478;14
65260918686;2
80412997014;16
49807103583;20
57321726915;2
46531425595;6
99919162954;12
51462658492;14
23238237860;20
85271994290;16
87378195569;32
39419366215;18
34583849641;20
70282711858;10
52279537142;14
81411223549;6
89555067465;4
31001846877;22
29797055465;18
49707608617;12
92914420488;20
45649602355;4
42679766458;20
82608217018;20
65302726826;14
95932235630;16
10344485450;10
50688167315;8
49293191392;30
31401592563;12
51718060245;2
45933746375;8
56565288819;20
63828843150;16
11161746355;34
59838145236;22
88293727338;42
27777019788;40
82170105522;4
33577281742;10
16674773471;22
23345371775;18
83922377242;30
50773665264;24
64657795057;4
50477373003;30
88612575760;14
83642911338;14
79432571583;18
39674291990;8
51948305230;10
16596055832;18
81894613652;16
17964155952;18
20378886458;10
19886106077;10
41889529870;18
70490058280;14
85357959004;4
83227127827;12
54700453014;16
69632881900;20
94766953964;16
67700183053;2
41303213305;40
42546266439;12
76137339069;24
32196089980;18
64060203292;4
52130956640;44
87237154328;8
96483720138;6
52793798665;16
19324187997;22
41451794796;10
98963023019;30
38531374786;2
26926000418;54
65257926015;20
40595559309;16
29595262232;6
43064201119;6
99657232635;2
68220258879;8
30970649811;22
19090874369;20
11957916435;20
93176329627;28
77390032609;16
32157281411;4
62105975578;20
84194022111;18
24883981763;16
54628715819;16
55387995069;26
43971204702;8
94493847999;8
43408253838;18
61263880552;20
83061664744;10
72576583497;6
21520352635;6
45559613809;6
37569140122;4
49839671251;10
79716397362;4
52810596676;30
39796042868;16
71244307962;14
96296740671;10
94874652615;36
30505065843;4
57957925698;18
37685605636;22
46011649573;22
34556198294;6
15803274542;4
13684495064;10
24331092092;2
42344341106;28
91462640795;14
36914522660;2
29288332746;6
30736947366;34
48687217033;4
29156276090;38
81546125995;32
25382482219;2
87435233980;24
61241325959;18
65984690830;2
43363293245;12
53985856564;16
75969896863;2
98285269062;12
86518174328;8
31122397265;28
36807343633;4
47022229671;12
11321390932;8
28734831982;28
24823417576;10
26335134023;8
25020328456;6
41632909920;16
28022758641;12
87539816973;4
80869715267;8
59995548677;6
22277715359;4
47044608201;8
90143755049;2
54830273639;12
97769113332;12
93685463829;6
61272415471;4
54962593198;22
29034937128;2
17528754878;10
69063863455;16
75094782148;16
24048436813;24
52634041330;26
20782323313;18
26294044671;6
37154459817;8
17496409678;6
63652830826;2
10998289622;36
79178946475;16
77167076113;14
64495382101;8
74601812070;4
60259932410;4
57868430749;10
48848432922;20
81760026678;14
45778115962;6
77015198571;12
41187506381;20
15572411319;6
20240495266;6
41104078676;20
92222103901;54
50616145868;14
54178026764;20
47591194376;12
43891324006;4
34022924235;8
63223170697;18
68510241508;2
10105501010;8
81269127116;14
38435499777;18
86963320508;8
15483292026;2
88342127908;20
73271027094;10
28671414767;32
37589970811;36
43199462825;38
39293628375;14
49864955872;8
12836517444;6
46821686565;32
27046979847;22
67466755285;20
29370981317;26
53988807493;8
62913813889;18
15755798595;24
65407197723;12
14288916738;4
65958452344;28
90935696745;14
13973629135;8
62041623744;34
49986895936;12
79991160022;20
52318678663;14
69735620154;2
40532888721;18
86363915968;30
91660053575;16
12100577380;14
43393968303;12
22489392878;24
66920008411;8
23816341809;8
27157581093;20
56165128960;6
91090978702;12
45374811119;20
55281180809;2
77299943897;16
22702515302;16
20026759095;22
57053225708;4
28865497271;22
75494123492;20
42410284947;24
55869616602;2
54962375898;34
76655414934;26
94143522498;44
46883587300;20
39468056587;28
78036958743;28
73199138979;10
84255264718;16
50257314448;14
63555447722;20
61942674636;20
35966325649;38
80699832454;44
74245960106;20
61201029256;24
99048424078;18
16080242043;12
17996610664;22
20741205464;14
42982801332;16
95055436709;18
29103138322;18
66873232408;4
26908591233;34
10969942873;6
73083891556;16
87122812685;6
10857655527;8
51588480066;18
97793949242;46
87161321817;28
18758785295;34
43684597644;2
44522067210;20
97052755982;18
65220396742;28
64410955056;28
67316500891;36
96750417998;4
18598274527;8
40588202839;12
48552953983;20
79702034690;14
55032329783;16
81300638476;10
31359603150;6
13969614467;20
10177478974;8
36326995094;18
59892747848;8
32297089263;28
36693597356;14
31166914023;2
79634776360;10
27611285203;4
48262302534;18
93990829799;14
25944044217;2
33862726050;34
69309439045;12
30149744590;4
37719614812;12
90888956538;2
32581790522;6
80432348900;8
92328627619;26
15892725657;42
77749381566;4
73948099243;4
24355169344;6
50582426230;10
50376759926;20
72584467507;2
48511367597;6
39553184473;6
79891480061;8
68523296108;20
27227592949;6
48744797971;10
20349775909;18
48516987757;14
77840911123;16
82806052629;8
59672970666;12
21703945801;32
62529019598;16
24395729915;6
42844762894;30
45525884695;10
46199535556;10
51335922552;20
88498230834;18
68793320037;12
95981184858;20
66555863097;6
25592792120;32
20641507948;4
86781657972;16
89896639106;40
44077272995;6
80893626829;20
54310611013;2
74158968382;12
35916183779;20
41822763690;14
80270578474;16
20506897676;18
84318933698;2
10984232685;6
74854925356;22
32761770890;20
27219355493;18
29542962668;6
94511880941;36
49786930161;12
25739357812;10
61755279894;32
69712368484;10
58650468121;14
90360016554;2
68799226918;16
87078161911;10
54544214941;18
76423622146;8
82484890677;34
55320761448;4
87064494767;16
19651461919;10
91720399401;4
98069559643;34
98221025169;20
41027145532;22
17304469675;6
94809609752;10
45394130689;42
63728269527;24
73263044395;24
45250546015;28
74117692229;4
68307868821;20
45456178171;16
40654309779;8
83498944125;2
58130274043;24
28244193461;26
46869358634;20
91720947183;18
43900762291;28
74032744837;36
52675574032;8
28637845074;16
28407016341;12
93641390011;14
56244847817;8
75461266322;14
28175859414;26
39130709300;10
47061243432;10
36017913525;16
43428799142;12
66940843993;2
58502862470;22
42054299843;12
50461530752;34
55522454674;8
66168709602;2
30420735536;2
58779851610;30
10636639348;26
92458508252;12
21763454598;20
10661853289;18
14165856426;22
84168471387;20
60433855845;10
34750131768;4
63573101545;20
43927927954;10
37970521702;18
36907844843;20
17444496902;6
41546851619;2
88827170650;22
14592026058;12
16140259750;36
19013783593;4
50571695017;62
85168329788;10
69456155488;4
81687104675;18
28656024746;32
37167327442;48
94602795025;20
55185030731;28
95223074001;4
47113418197;10
58270280850;54
64905809353;16
30367789707;20
85777137255;2
89838028921;46
82111728224;26
19813017245;20
96449640483;26
86791877407;10
96657014618;4
34790148283;2
83864674169;18
82897485163;38
24068579407;12
67191453839;6
15927760861;16
57196535956;24
54006215551;6
61141629347;14
58056672136;18
19771266720;14
47867950624;14
82229491821;22
57838862550;20
84798787120;28
25953864531;22
70274205041;10
97148926324;20
11806365154;32
76084153592;30
42824968273;14
31293066233;16
50129543383;12
33008566094;10
22865737118;12
23226594554;16
36044716840;20
97731672488;4
92586931240;6
74386880601;2
15050619056;30
18437560023;16
94617278059;24
28510113487;22
59972174261;8
47122300575;14
74883844605;2
43565307416;12
12926602921;20
35914136868;24
22093882102;38
61437479569;14
55299740930;14
34125273114;6
50960808437;22
31961827440;4
51345815017;10
48831605122;10
40978746378;18
23931137008;6
60157296587;18
39004761856;34
94745741878;8
62517787181;30
33595446427;6
64642811261;24
70339475719;20
64523250214;12
50273470438;12
77518162259;38
55599671855;20
44689125426;12
20635825309;14
74844046374;16
13083314734;6
89125643259;12
63498837335;14
24733232052;34
69319544607;38
49711997502;6
36978137995;14
48000729943;16
61442808461;12
97118055040;20
72068791137;2
23757545071;26
45598881968;4
44584992309;2
87455305369;6
27549518663;10
76403304932;20
46792611310;4
85767215018;10
85886268113;24
19635402541;36
31656879623;18
26341759940;18
13891825924;10
20767276210;30
62927449919;18
30672925324;2
70643856429;16
71025386973;2
38506433967;10
69531953853;36
91550679962;22
76349951413;22
99624907124;16
38510868839;6
27047080806;24
24533627063;8
11014963172;16
92221759308;12
90695071194;20
85769817969;16
88582660154;8
87152217336;16
21343895178;2
12928806668;4
86963726215;26
51725324477;24
49775909922;2
75120572101;28
10419283530;26
42557682272;14
47881663086;14
80976470606;8
85557998043;12
27707954289;20
51100598157;10
91875214698;6
67189149087;10
72558940926;4
30168916679;14
10206431360;18
14086551345;28
51546045551;20
97621604127;14
79798180272;2
26428027511;10
34159858417;10
85632169275;30
10559100192;22
37297733439;24
51349489620;38
34526833212;10
29600305665;16
96110965899;20
80158917850;10
43037379236;12
71257310537;18
67171315768;28
89150184772;24
91870217498;18
46883573973;8
34238024508;4
54412491602;6
93435012263;4
38971324467;24
85085939030;2
53617057844;16
64749265804;16
14523563214;10
79554253956;4
65622986434;10
53594688531;32
63893311225;14
80701883104;14
44306465586;14
57193890361;2
26632306521;20
11836327543;24
78284966838;34
93758350873;8
21136245496;30
60471983585;16
95419992092;20
38901519372;20
50272348842;20
65000167176;2
85937450322;4
18288348400;4
97846337076;18
84995861736;4
71944004213;10
11639407260;8
77172001922;20
64957010943;12
70660463549;30
99602205845;2
19340115586;40
10875980256;20
33156510241;28
79355899669;6
92542662538;18
28493340792;4
67861655118;18
61614945737;8
54348237976;18
71356420673;12
56163335060;22
81460447921;10
58121386314;18
96234621331;26
82252068873;6
50870722055;4
85500770460;4
87869998598;44
63813934663;12
64328419710;18
64551484341;14
51911118370;32
45850191570;12
86516026326;18
16999413317;8
34920350060;20
46654482693;24
34698197669;20
30741415884;10
34568427452;4
63922196167;10
65604676766;22
15241845518;14
53154737383;16
42950598984;18
21791088142;14
88470037780;12
60014608008;18
76372504873;2
24678062420;8
77234598438;12
54087929593;6
37997369338;14
55086120666;18
78063083360;6
28658729950;10
99990550444;6
41276358583;14
16375590612;18
48838207738;22
29340097221;14
31511251146;12
56686922709;26
36826723719;18
90576141156;28
16035604490;34
14548860137;2
33394168214;24
23102548201;16
53635274267;18
98216653544;8
95571838812;6
44118069640;4
45772120354;32
84494320144;14
74111476732;20
16252896159;32
56350099830;36
72662596080;4
74093578016;14
38742589766;14
90632511947;6
43846114299;20
19026149002;8
46729258682;18
17061535048;8
45412456302;10
97667843604;6
73242918254;32
94271532765;58
34738590404;18
99204074423;20
87917810457;2
59867172340;18
44085654441;4
63840731133;2
57683088415;24
43030441588;34
82679988343;2
76249001580;12
46417350613;24
62230676075;6
73740007066;20
27051798472;10
35720235383;12
12324339825;18
45256315935;20
80691396262;14
49118315244;46
25815138350;24
63071144253;10
50256904569;16
22858308494;10
42616665394;2
11146518499;26
99519486017;26
10586413313;12
35582741384;14
29725233674;14
52559816977;32
38236997575;16
81356690046;14
81291803763;18
59726000812;6
46326856450;4
41063510437;18
34409445357;4
28986048087;20
39286956393;2
58987301368;4
28459538344;20
26882535407;26
13282189962;20
74842958123;6
88692950167;18
36297732903;18
15656894512;12
77827069694;10
64691677783;4
12820640279;32
33313384732;2
17500237983;14
20544552651;10
83299539485;20
94915886309;4
45123642235;4
83375049103;34
71069920672;24
79815185460;20
95389556580;22
30617050962;20
97476386372;6
59796224145;16
41356609317;10
79044757219;18
58944356958;16
69776836189;4
26566192870;28
91610089746;26
25232260371;18
84332839478;8
24601943122;18
26927388576;6
38559888538;6
73530019231;26
12554733148;14
11627803510;16
27872399016;36
52357449535;14
61755364448;16
39818046793;24
89274719018;20
97396848086;10
99180642272;14
62357359461;20
71310624849;4
74107623458;18
99170128600;2
43775339807;16
86251301952;12
77930151091;6
55706114476;28
29158897454;8
96108182835;4
13906929466;14
91850447676;18
37959802806;16
57415058776;30
42258543930;12
68488832508;22
46210467297;2
30648419037;14
31686782553;4
19569206147;14
82150768360;10
48971358942;28
62199096831;14
75970405195;20
57524321335;12
29826208717;16
75694487246;4
30392970098;32
82441139641;12
12646060982;16
50171050854;18
31610161331;36
59311127883;34
68793283515;2
51859548743;2
38238207950;12
67517854762;36
31845951358;18
63685524476;8
31004465921;16
74963477854;6
96342616073;22
61942636622;18
88104419477;10
64762963622;4
11883862487;2
88059783658;16
77488812137;26
83958838985;14
55725218784;6
75266463741;22
41296778088;14
89831094293;14
55135677948;38
18093210667;20
33120000488;20
61904324137;4
22967858533;20
49398946538;20
55801444399;4
91757794105;46
28795011192;22
84974051728;32
76386524696;14
40940554776;10
86865701546;14
29006131079;16
65774362943;12
74388155552;2
69020665993;18
91616809853;36
38776408388;4
54981269258;8
38752534494;8
82586339667;46
11062852306;6
87375993226;10
59515591590;14
41848149164;8
17679903489;22
39400863816;32
27392294209;18
73205380300;2
12609990413;16
61740234780;2
50013545405;12
83103805179;16
84841439226;6
23404721461;36
43570896934;2
25176202645;8
12729643841;4
85827989225;10
15368968202;8
85211223386;20
81608182479;18
54368571276;6
38559013511;24
60284455705;8
73113423560;12
14710053174;14
24359957247;10
78336904634;24
57028601280;14
68691920976;6
17112700777;4
61263619662;40
59438114349;14
21094759005;2
56952537356;18
24091963800;32
24569580598;20
22366919940;16
61240458620;6
60055551990;8
22349546394;8
66657401746;16
52265964138;20
78485806322;8
17282387127;10
67728447391;28
90174028737;2
47578927052;26
85055188797;14
13522128307;20
49701781985;2
58856134441;6
81498117197;6
90742068768;18
20735608964;24
60761177851;20
17982694578;10
90960677255;18
38487530580;16
19052289140;12
32456274424;8
59467066521;22
85523881684;10
47626897318;16
96630359483;8
79973166341;14
13716007213;20
61927747637;12
87926492738;12
47307672586;14
54679531275;8
20315114794;16
66265085588;6
16056551319;10
55775106858;10
38148160252;16
19835023632;30
68496574809;4
20841391096;4
65861764049;10
21958197776;6
52357621429;2
98833107102;20
90134864677;6
99678572251;18
52739049168;18
19443438871;18
72187332248;6
38334777459;36
53774378787;16
39919125632;18
92011338424;12
23507328895;26
87630741314;18
90035889490;28
65992652242;16
77473946630;6
14539837581;14
93355318787;6
43226261880;40
30396765677;10
13255935652;22
16861993251;10
90814849311;14
73883745522;6
49284114012;4
14330893298;6
28253348142;2
85771223401;10
55687634438;20
55517429158;10
76018605257;54
18664368737;18
73234180941;4
76789550765;18
20829536198;10
66709262681;26
93669317269;26
32630040291;10
97946099894;10
20958134403;52
39757412147;20
56450633299;20
66450864998;18
51892021079;22
13139527809;6
22740492440;18
39322336585;2
63016238167;34
45281718022;40
39255361678;12
29060413772;16
59228951658;22
42617135140;4
49627110907;14
57474839548;20
64710360781;26
31045117633;16
15413363225;34
75223774524;16
27536044639;10
48357726610;24
24228791797;16
99992749308;2
94594862088;16
45234487261;18
95498691294;14
46629124461;22
15356398211;8
78222067326;10
41744577765;20
86675384833;10
82557458193;4
50567855953;22
94727014609;6
70792450575;22
13928708328;16
76178913089;8
90515177865;40
92310775689;20
17637000134;14
51194083217;14
21795049456;20
34176558066;20
71489602029;4
93289292647;34
74285005985;14
29087955632;14
57907714469;16
69472526941;4
82312650466;8
91304823662;4
39143639301;20
80736530655;4
14951644928;2
32925572988;2
52905551162;26
21631601498;12
21649274457;34
90188332942;20
93101115413;22
50950188248;12
89155529725;6
22657905729;12
63244662535;22
57012603252;12
10678523683;12
40773257818;22
32023974610;22
25285410405;30
20923063541;10
14260343048;18
98045978490;16
12257031498;24
15789283166;20
68002920281;16
36572250034;20
68106954504;6
32421265697;20
60979945798;8
38094605456;16
56772837030;20
68348063795;8
21113166476;28
10231156269;14
22800375280;20
14475417590;8
12391123829;14
23199087856;4
45484934708;14
69066935789;12
89898952814;4
41008494745;20
57642360138;2
80553616320;18
71084880324;14
49888733521;6
43739930825;2
27530350279;2
65745405992;2
35373132461;22
93388133482;14
57369228607;8
58090650585;4
82333102571;24
42866215500;16
13564862915;18
22723327824;2
63346609051;16
59252803949;10
83759318655;20
50634314267;40
72472681158;8
15632738873;10
81767284153;18
67234781104;20
39950674033;24
74063085987;10
61057343217;16
54226256831;20
31894492753;26
31864066825;2
90308117865;20
40651496061;6
66182380449;26
95130818023;12
43987752916;14
17292437064;20
41042602686;6
47521013058;10
85523096826;18
78955571915;2
53288644960;6
55773087705;8
69968327409;12
46021041976;6
30100206171;2
77531270453;16
36370965926;20
18561906642;16
59924013530;40
29628383217;34
77506225033;10
38763479769;6
39217490697;30
92880933662;4
67141179550;4
15289819483;14
18059608461;34
97026281883;6
28211312201;14
89392877099;6
43827075813;6
39418014213;14
37116315016;8
84057648588;2
75286148994;2
55115126934;8
10209389008;2
66994330136;20
67713077697;6
50934778004;2
71286314710;10
43162565303;14
97947822302;10
47020436336;18
19596939046;2
65249680295;8
88859729539;14
65124218173;14
93667641180;6
66738700014;24
39220678418;14
79441388552;22
42084703515;8
29470481412;4
85977297355;10
50382534707;12
14742188381;2
62919228194;6
70414870332;4
61465650837;8
23792483873;10
97394390361;4
10261768508;4
56377059438;4
64778736309;2
37545763086;2
86198050421;18
60854902282;4
75346258786;6
63188015047;14
20651126736;6
87520878914;6
51876349480;28
13038835596;28
17588852822;4
85054499094;18
90238143243;6
57951212536;14
49905717621;12
25879711412;2
13234621349;32
34015880600;14
27983810829;12
13706385519;16
97819110354;18
73508272700;14
22491363288;14
45344355694;6
33420672754;10
16259608150;20
90805851729;20
74150631383;2
90020274937;16
30026387005;36
40379412115;30
13335298583;14
22554756808;12
51246449366;10
24398743469;8
25799370856;14
35921203865;12
94389656987;20
10825432466;20
92136341426;4
85752584824;20
43820420890;6
13655144157;12
55758767525;14
39532340420;32
69560629342;28
42413321515;14
22156867090;10
76172208225;12
49020465704;6
73484602785;14
27918690895;14
36247884081;2
95355661319;6
12463601751;8
30248610606;32
48800779047;12
88615463795;2
53892231754;6
66589125308;20
17836813861;14
91268320734;20
65770830914;10
75857721844;12
78050240604;12
76050392413;14
13554398027;14
29322491879;18
41488051277;2
23992905846;16
89989455297;18
55957229773;20
24347056393;10
98403332041;2
15244527644;10
27163033881;16
74031362399;16
52484911205;20
74926520980;26
81120318072;8
90214907052;6
74233268720;16
94718551897;8
92074303191;10
79618969876;14
11812638865;20
21788470485;20
36161053522;16
46031664040;14
84487380939;2
36696282636;24
47401242403;6
49742858958;12
73813173305;6
76705763610;18
65295097532;12
40384412029;6
71541814686;2
23136944738;12
73683521487;16
83585262691;6
11359128099;24
30574125864;20
61450053364;8
55992159034;16
43255032293;18
12839170114;2
